region,rank,knowledge_index,similarity,text
9,2,7654,0.293345,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
9,3,7288,0.292026,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
10,1,1449,0.309958,Twenty-six lymph nodes are negative for metastatic carcinoma.
10,2,5108,0.305856,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
10,3,7292,0.305241,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
11,1,2520,0.295989,- Stage: Not specified.
11,2,7763,0.295041,Few mitotic figures are observed.
11,3,6098,0.293960,"The method of lymph node examination was H&E stain, and there is metastasis in the sentinel node."
12,1,7288,0.295496,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
12,2,945,0.290137,"- Left breast, new posterior margin excision: Negative for tumor."
12,3,7654,0.286890,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
13,1,2455,0.307234,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
13,2,2040,0.303088,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
13,3,1954,0.301147,- Multifocal fat necrosis.
14,1,7876,0.306371,The lymph node metastases show extensive extracapsular extension and architectural replacement.
14,2,3914,0.305480,The largest metastasis measured 3.4 cm and had extracapsular extension.
14,3,1371,0.305145,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
15,1,5341,0.296557,Stage: 1C.
15,2,5815,0.294390,The margins of normal tissues were also described.
15,3,3694,0.289900,The Nottingham Score could not be determined.
16,1,7288,0.290712,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
16,2,4891,0.286355,- Treatment: None.
16,3,137,0.286355,- Treatment: None.
17,1,2455,0.308016,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
17,2,1954,0.301527,- Multifocal fat necrosis.
17,3,2040,0.301485,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
18,1,1371,0.308750,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
18,2,3914,0.302974,The largest metastasis measured 3.4 cm and had extracapsular extension.
18,3,7292,0.301871,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
19,1,5341,0.295958,Stage: 1C.
19,2,3412,0.291602,Normal Sample:.
19,3,139,0.291602,Normal Sample:.
20,1,7288,0.291534,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
20,2,7654,0.287986,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
20,3,3749,0.287859,[name redacted].
21,1,2455,0.299313,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
21,2,4909,0.296618,The remaining breast tissue shows lipomatous atrophy.
21,3,3545,0.295780,"The distant fibrolipomatous parenchyma of the breast shows risk lesions of unsettled to atypical ductal hyperplasia, but is tumor-free."
22,1,5108,0.313268,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
22,2,7292,0.311256,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
22,3,1449,0.309323,Twenty-six lymph nodes are negative for metastatic carcinoma.
23,1,6352,0.300227,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
23,2,2198,0.297013,"The invasive tumor cells are positive for estrogen receptor and progesterone receptor, but negative for HER-2."
23,3,7564,0.296930,"Infiltrating lobular carcinoma, Nottingham grade I, was identified in the left breast, and lobular carcinoma in situ was also present."
24,1,5815,0.292738,The margins of normal tissues were also described.
24,2,4891,0.292324,- Treatment: None.
24,3,137,0.292324,- Treatment: None.
25,1,945,0.295372,"- Left breast, new posterior margin excision: Negative for tumor."
25,2,7654,0.295284,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
25,3,4909,0.293695,The remaining breast tissue shows lipomatous atrophy.
26,1,4231,0.308957,"The regional lymph nodes could not be assessed, and there were no distant metastases."
26,2,1449,0.306601,Twenty-six lymph nodes are negative for metastatic carcinoma.
26,3,2455,0.302930,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
27,1,1371,0.304914,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
27,2,7653,0.301758,- Distant metastasis: Present.
27,3,7876,0.301688,The lymph node metastases show extensive extracapsular extension and architectural replacement.
28,1,5341,0.298279,Stage: 1C.
28,2,5815,0.293757,The margins of normal tissues were also described.
28,3,2520,0.293617,- Stage: Not specified.
29,1,2040,0.296128,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
29,2,945,0.293323,"- Left breast, new posterior margin excision: Negative for tumor."
29,3,1954,0.292313,- Multifocal fat necrosis.
30,1,2455,0.300168,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
30,2,1954,0.294893,- Multifocal fat necrosis.
30,3,4909,0.294619,The remaining breast tissue shows lipomatous atrophy.
31,1,5108,0.313971,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
31,2,1449,0.312592,Twenty-six lymph nodes are negative for metastatic carcinoma.
31,3,7292,0.312079,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
32,1,6352,0.310553,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
32,2,6206,0.310048,The largest metastatic focus measures 1 cm with extracapsular extension.
32,3,7653,0.305134,- Distant metastasis: Present.
33,1,5815,0.302338,The margins of normal tissues were also described.
33,2,3694,0.293231,The Nottingham Score could not be determined.
33,3,3803,0.292902,Ancillary studies:.
34,1,945,0.292823,"- Left breast, new posterior margin excision: Negative for tumor."
34,2,7654,0.290641,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
34,3,1628,0.288615,- The excisional biopsy margin was free of tumor (2 mm from the anterior margin).
35,1,2455,0.309764,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
35,2,1954,0.303072,- Multifocal fat necrosis.
35,3,2040,0.299228,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
36,1,7876,0.305472,The lymph node metastases show extensive extracapsular extension and architectural replacement.
36,2,1371,0.300139,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
36,3,7292,0.298968,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
37,1,6837,0.294887,Date of Report: Not provided.
37,2,2520,0.292900,- Stage: Not specified.
37,3,7564,0.291772,"Infiltrating lobular carcinoma, Nottingham grade I, was identified in the left breast, and lobular carcinoma in situ was also present."
38,1,3749,0.293181,[name redacted].
38,2,4891,0.291903,- Treatment: None.
38,3,137,0.291903,- Treatment: None.
39,1,7288,0.298257,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
39,2,945,0.297935,"- Left breast, new posterior margin excision: Negative for tumor."
39,3,7654,0.295333,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
40,1,4231,0.309009,"The regional lymph nodes could not be assessed, and there were no distant metastases."
40,2,1449,0.307888,Twenty-six lymph nodes are negative for metastatic carcinoma.
40,3,7239,0.304401,"4. Right axillary contents: The examination of the axillary fat revealed multiple lymph nodes, all of which were entirely submitted for evaluation."
41,1,1371,0.308182,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
41,2,7876,0.305345,The lymph node metastases show extensive extracapsular extension and architectural replacement.
41,3,6206,0.305239,The largest metastatic focus measures 1 cm with extracapsular extension.
42,1,6352,0.302259,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
42,2,7564,0.297742,"Infiltrating lobular carcinoma, Nottingham grade I, was identified in the left breast, and lobular carcinoma in situ was also present."
42,3,1258,0.296004,"In the left breast, the carcinoma is poorly differentiated, with high-grade ductal carcinoma in situ (DCIS) and no lymphovascular invasion."
43,1,7288,0.288602,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
43,2,3749,0.288313,[name redacted].
43,3,137,0.287566,- Treatment: None.
44,1,945,0.296131,"- Left breast, new posterior margin excision: Negative for tumor."
44,2,3545,0.295373,"The distant fibrolipomatous parenchyma of the breast shows risk lesions of unsettled to atypical ductal hyperplasia, but is tumor-free."
44,3,4909,0.295365,The remaining breast tissue shows lipomatous atrophy.
45,1,2455,0.310434,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
45,2,1954,0.302184,- Multifocal fat necrosis.
45,3,3545,0.297932,"The distant fibrolipomatous parenchyma of the breast shows risk lesions of unsettled to atypical ductal hyperplasia, but is tumor-free."
46,1,7876,0.310002,The lymph node metastases show extensive extracapsular extension and architectural replacement.
46,2,5108,0.308609,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
46,3,7292,0.305692,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
47,1,6352,0.324199,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
47,2,6206,0.309737,The largest metastatic focus measures 1 cm with extracapsular extension.
47,3,7653,0.304806,- Distant metastasis: Present.
48,1,3803,0.296525,Ancillary studies:.
48,2,5815,0.294932,The margins of normal tissues were also described.
48,3,3749,0.293517,[name redacted].
49,1,7288,0.292726,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
49,2,3749,0.285720,[name redacted].
49,3,7856,0.285255,- Invasive lobular carcinoma was identified (detailed breast pathologic parameters provided).
50,1,2455,0.306995,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
50,2,3545,0.301711,"The distant fibrolipomatous parenchyma of the breast shows risk lesions of unsettled to atypical ductal hyperplasia, but is tumor-free."
50,3,4909,0.300679,The remaining breast tissue shows lipomatous atrophy.
51,1,4231,0.308686,"The regional lymph nodes could not be assessed, and there were no distant metastases."
51,2,6364,0.307382,"Lymph nodes in the axillary fatty tissue show signs of lipomatosis, suggesting the presence of metastases."
51,3,2455,0.306244,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
52,1,1371,0.305641,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
52,2,7876,0.305191,The lymph node metastases show extensive extracapsular extension and architectural replacement.
52,3,6206,0.303793,The largest metastatic focus measures 1 cm with extracapsular extension.
53,1,6352,0.316687,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
53,2,6206,0.302653,The largest metastatic focus measures 1 cm with extracapsular extension.
53,3,7564,0.302471,"Infiltrating lobular carcinoma, Nottingham grade I, was identified in the left breast, and lobular carcinoma in situ was also present."
54,1,5815,0.293698,The margins of normal tissues were also described.
54,2,3803,0.292983,Ancillary studies:.
54,3,3749,0.292716,[name redacted].
55,1,7288,0.297901,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
55,2,7856,0.293925,- Invasive lobular carcinoma was identified (detailed breast pathologic parameters provided).
55,3,945,0.293441,"- Left breast, new posterior margin excision: Negative for tumor."
56,1,2455,0.308948,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
56,2,3545,0.302747,"The distant fibrolipomatous parenchyma of the breast shows risk lesions of unsettled to atypical ductal hyperplasia, but is tumor-free."
56,3,1954,0.299197,- Multifocal fat necrosis.
57,1,6352,0.310787,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
57,2,1449,0.309324,Twenty-six lymph nodes are negative for metastatic carcinoma.
57,3,5108,0.307764,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
58,1,1371,0.304850,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
58,2,3914,0.304285,The largest metastasis measured 3.4 cm and had extracapsular extension.
58,3,7653,0.303649,- Distant metastasis: Present.
59,1,6352,0.315794,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
59,2,6206,0.304757,The largest metastatic focus measures 1 cm with extracapsular extension.
59,3,1258,0.301605,"In the left breast, the carcinoma is poorly differentiated, with high-grade ductal carcinoma in situ (DCIS) and no lymphovascular invasion."
60,1,3803,0.294434,Ancillary studies:.
60,2,5815,0.293598,The margins of normal tissues were also described.
60,3,4069,0.290612,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
61,1,7288,0.295232,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
61,2,4620,0.289010,There are also findings of fibroadenomata and stromal fibrosis.
61,3,6702,0.287766,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
62,1,2455,0.314671,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
62,2,3545,0.306055,"The distant fibrolipomatous parenchyma of the breast shows risk lesions of unsettled to atypical ductal hyperplasia, but is tumor-free."
62,3,4909,0.300623,The remaining breast tissue shows lipomatous atrophy.
63,1,7876,0.311595,The lymph node metastases show extensive extracapsular extension and architectural replacement.
63,2,637,0.306969,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
63,3,5108,0.304856,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
64,1,7876,0.308299,The lymph node metastases show extensive extracapsular extension and architectural replacement.
64,2,6206,0.304314,The largest metastatic focus measures 1 cm with extracapsular extension.
64,3,5108,0.301204,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
65,1,6352,0.310206,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
65,2,7653,0.301777,- Distant metastasis: Present.
65,3,4729,0.300897,"In the left breast, there is infiltrating ductal carcinoma, Nottingham grade III, with a 4.7 x 4.0 x 2.7 cm mass located in the upper outer quadrant (AJCCpT2)."
66,1,4247,0.293871,Dr.
66,2,5815,0.292630,The margins of normal tissues were also described.
66,3,2520,0.291547,- Stage: Not specified.
67,1,2455,0.289671,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
67,2,7288,0.288245,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
67,3,7604,0.287221,"- Skin and subcutaneous adipose tissue, no evidence of malignancy."
68,1,2455,0.297940,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
68,2,4909,0.295599,The remaining breast tissue shows lipomatous atrophy.
68,3,945,0.295429,"- Left breast, new posterior margin excision: Negative for tumor."
69,1,1449,0.309695,Twenty-six lymph nodes are negative for metastatic carcinoma.
69,2,5108,0.307515,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
69,3,4231,0.304036,"The regional lymph nodes could not be assessed, and there were no distant metastases."
70,1,7876,0.307801,The lymph node metastases show extensive extracapsular extension and architectural replacement.
70,2,6206,0.302445,The largest metastatic focus measures 1 cm with extracapsular extension.
70,3,7653,0.301935,- Distant metastasis: Present.
71,1,6206,0.305259,The largest metastatic focus measures 1 cm with extracapsular extension.
71,2,7653,0.305030,- Distant metastasis: Present.
71,3,7876,0.304322,The lymph node metastases show extensive extracapsular extension and architectural replacement.
72,1,6352,0.318678,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
72,2,6702,0.302083,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
72,3,1258,0.301409,"In the left breast, the carcinoma is poorly differentiated, with high-grade ductal carcinoma in situ (DCIS) and no lymphovascular invasion."
73,1,5815,0.297236,The margins of normal tissues were also described.
73,2,3803,0.295054,Ancillary studies:.
73,3,4752,0.294468,The margins of the specimen were not specified.
74,1,7288,0.293186,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
74,2,2455,0.289901,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
74,3,7654,0.289894,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
75,1,2455,0.300506,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
75,2,1954,0.296097,- Multifocal fat necrosis.
75,3,4531,0.294507,"The right posterior margin mainly consisted of adipose tissue with calcification of the vessel wall, and no tumor was identified."
76,1,6352,0.305253,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
76,2,5108,0.301314,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
76,3,1449,0.297789,Twenty-six lymph nodes are negative for metastatic carcinoma.
77,1,6206,0.305423,The largest metastatic focus measures 1 cm with extracapsular extension.
77,2,7653,0.303478,- Distant metastasis: Present.
77,3,1371,0.300444,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
78,1,6352,0.304081,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
78,2,7876,0.301952,The lymph node metastases show extensive extracapsular extension and architectural replacement.
78,3,6206,0.301736,The largest metastatic focus measures 1 cm with extracapsular extension.
79,1,6352,0.315376,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
79,2,1258,0.309883,"In the left breast, the carcinoma is poorly differentiated, with high-grade ductal carcinoma in situ (DCIS) and no lymphovascular invasion."
79,3,7564,0.305839,"Infiltrating lobular carcinoma, Nottingham grade I, was identified in the left breast, and lobular carcinoma in situ was also present."
80,1,2040,0.295552,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
80,2,4069,0.292968,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
80,3,4909,0.290957,The remaining breast tissue shows lipomatous atrophy.
81,1,7654,0.299793,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
81,2,945,0.296590,"- Left breast, new posterior margin excision: Negative for tumor."
81,3,2040,0.296081,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
82,1,6352,0.310127,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
82,2,3892,0.300641,"- The re-excision of the posterior margin of the left breast shows skeletal muscle and fibroadipose tissue, with no carcinoma identified."
82,3,7654,0.298204,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
83,1,7876,0.305335,The lymph node metastases show extensive extracapsular extension and architectural replacement.
83,2,6206,0.301678,The largest metastatic focus measures 1 cm with extracapsular extension.
83,3,7653,0.299820,- Distant metastasis: Present.
84,1,6206,0.306117,The largest metastatic focus measures 1 cm with extracapsular extension.
84,2,7876,0.303414,The lymph node metastases show extensive extracapsular extension and architectural replacement.
84,3,7653,0.302735,- Distant metastasis: Present.
85,1,6352,0.317682,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
85,2,1247,0.300438,"The report states that the diagnosis before the operation was a left breast mass, and the post-operation diagnosis remains the same."
85,3,7653,0.297788,- Distant metastasis: Present.
86,1,4909,0.293614,The remaining breast tissue shows lipomatous atrophy.
86,2,3632,0.291323,"The HER-2/NEU testing was negative, but it will be repeated due to possible differences in fixation."
86,3,3749,0.289088,[name redacted].
87,1,2040,0.302323,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
87,2,2455,0.297120,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
87,3,4909,0.294230,The remaining breast tissue shows lipomatous atrophy.
88,1,2455,0.306088,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
88,2,7654,0.301709,- Residual tumor dimension: 6 cm in the right breast and 5 cm in the left breast.
88,3,6352,0.300930,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
89,1,6352,0.309296,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
89,2,7292,0.303025,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
89,3,7876,0.301449,The lymph node metastases show extensive extracapsular extension and architectural replacement.
90,1,6206,0.304023,The largest metastatic focus measures 1 cm with extracapsular extension.
90,2,7653,0.301578,- Distant metastasis: Present.
90,3,7876,0.299921,The lymph node metastases show extensive extracapsular extension and architectural replacement.
91,1,6352,0.306048,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
91,2,7876,0.305794,The lymph node metastases show extensive extracapsular extension and architectural replacement.
91,3,6206,0.303052,The largest metastatic focus measures 1 cm with extracapsular extension.
92,1,6352,0.295288,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
92,2,3749,0.294019,[name redacted].
92,3,7288,0.293132,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
93,1,4909,0.299735,The remaining breast tissue shows lipomatous atrophy.
93,2,2455,0.291451,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
93,3,6537,0.291134,1. Left Breast:.
94,1,1449,0.307963,Twenty-six lymph nodes are negative for metastatic carcinoma.
94,2,5108,0.305352,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
94,3,4231,0.303588,"The regional lymph nodes could not be assessed, and there were no distant metastases."
95,1,6352,0.315206,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
95,2,7292,0.304655,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
95,3,5108,0.301758,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
96,1,6206,0.307473,The largest metastatic focus measures 1 cm with extracapsular extension.
96,2,7653,0.306126,- Distant metastasis: Present.
96,3,7876,0.301314,The lymph node metastases show extensive extracapsular extension and architectural replacement.
97,1,7876,0.305624,The lymph node metastases show extensive extracapsular extension and architectural replacement.
97,2,4714,0.303219,"The final diagnosis is infiltrating ductal carcinoma of the breast, Nottingham grade II, with ductal carcinoma in situ and micrometastasis in the right axillary lymph node."
97,3,6352,0.301983,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
98,1,6352,0.305484,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
98,2,6702,0.302671,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
98,3,2040,0.296931,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
99,1,4909,0.298663,The remaining breast tissue shows lipomatous atrophy.
99,2,6544,0.291191,1. Left Breast:.
99,3,6537,0.291191,1. Left Breast:.
100,1,1449,0.311874,Twenty-six lymph nodes are negative for metastatic carcinoma.
100,2,5108,0.305970,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
100,3,7292,0.304905,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
101,1,6352,0.308993,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
101,2,7292,0.303588,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
101,3,5108,0.303267,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
102,1,6206,0.303823,The largest metastatic focus measures 1 cm with extracapsular extension.
102,2,7653,0.303820,- Distant metastasis: Present.
102,3,7876,0.302065,The lymph node metastases show extensive extracapsular extension and architectural replacement.
103,1,6352,0.312922,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
103,2,7653,0.300257,- Distant metastasis: Present.
103,3,7876,0.299085,The lymph node metastases show extensive extracapsular extension and architectural replacement.
104,1,6352,0.299165,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
104,2,6702,0.294700,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
104,3,2362,0.294619,- Fibrosis.
105,1,4069,0.293274,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
105,2,4909,0.292708,The remaining breast tissue shows lipomatous atrophy.
105,3,2455,0.289732,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
106,1,7876,0.305604,The lymph node metastases show extensive extracapsular extension and architectural replacement.
106,2,637,0.304921,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
106,3,5108,0.303902,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
107,1,7876,0.312058,The lymph node metastases show extensive extracapsular extension and architectural replacement.
107,2,7292,0.304799,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
107,3,5108,0.303284,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
108,1,7876,0.309111,The lymph node metastases show extensive extracapsular extension and architectural replacement.
108,2,6206,0.306580,The largest metastatic focus measures 1 cm with extracapsular extension.
108,3,7653,0.302633,- Distant metastasis: Present.
109,1,6352,0.319885,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
109,2,6702,0.301595,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
109,3,4714,0.297131,"The final diagnosis is infiltrating ductal carcinoma of the breast, Nottingham grade II, with ductal carcinoma in situ and micrometastasis in the right axillary lymph node."
110,1,4069,0.296505,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
110,2,1054,0.290638,4. Skin of left breast: Fibrosis.
110,3,3906,0.290096,"- Other findings include biopsy site changes in Mass #1, fibroadenomatous change, and skin with seborrheic keratosis."
111,1,6352,0.300507,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
111,2,4909,0.292377,The remaining breast tissue shows lipomatous atrophy.
111,3,7681,0.292209,8. Invasive lobular carcinoma found in the lower outer quadrant of the right breast with a size of 1.5 cm in the largest dimension.
112,1,7876,0.301764,The lymph node metastases show extensive extracapsular extension and architectural replacement.
112,2,1371,0.298662,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
112,3,7653,0.294824,- Distant metastasis: Present.
